date,value,memo
2024-04-23,244903,홍대입구역_2호선
2024-04-24,129632,종로3가역_1호선
2024-04-25,201756,잠실역_2호선
2024-04-26,257348,강남역_2호선
2024-04-27,240362,강남역_2호선
2024-04-28,84712,종로3가역_1호선
2024-04-29,140001,구로디지털단지역_2호선
2024-04-30,162611,구로디지털단지역_2호선
2024-05-01,129506,신촌역_2호선
2024-05-02,183367,잠실역_2호선
2024-05-03,175182,서울역_1호선
2024-05-04,101978,구로디지털단지역_2호선
2024-05-05,127983,신촌역_2호선
2024-05-06,195427,홍대입구역_2호선
2024-05-07,74532,이태원역_6호선
2024-05-08,219839,홍대입구역_2호선
2024-05-09,189991,신림역_2호선
2024-05-10,152039,신촌역_2호선
2024-05-11,123435,구로디지털단지역_2호선
2024-05-12,209629,강남역_2호선
2024-05-13,171784,잠실역_2호선
2024-05-14,189051,잠실역_2호선
2024-05-15,139283,신촌역_2호선
2024-05-16,217377,잠실역_2호선
2024-05-17,105583,이태원역_6호선
2024-05-18,137318,신림역_2호선
2024-05-19,124856,서울역_1호선
2024-05-20,321283,강남역_2호선
2024-05-21,77732,이태원역_6호선
2024-05-22,106080,종로3가역_1호선
2024-05-23,322053,강남역_2호선
2024-05-24,153715,신촌역_2호선
2024-05-25,65747,이태원역_6호선
2024-05-26,255042,강남역_2호선
2024-05-27,213786,홍대입구역_2호선
2024-05-28,198367,홍대입구역_2호선
2024-05-29,154522,구로디지털단지역_2호선
2024-05-30,221791,홍대입구역_2호선
2024-05-31,176271,삼성역_2호선
2024-06-01,199409,강남역_2호선
2024-06-02,174434,잠실역_2호선
2024-06-03,174417,삼성역_2호선
2024-06-04,94643,이태원역_6호선
2024-06-05,159018,서울역_1호선
2024-06-06,118222,종로3가역_1호선
2024-06-07,171617,서울역_1호선
2024-06-08,169329,신림역_2호선
2024-06-09,140944,서울역_1호선
2024-06-10,107400,종로3가역_1호선
2024-06-11,306281,강남역_2호선
2024-06-12,174468,삼성역_2호선
2024-06-13,199544,홍대입구역_2호선
2024-06-14,88003,이태원역_6호선
2024-06-15,73017,이태원역_6호선
2024-06-16,148349,신림역_2호선
2024-06-17,222081,홍대입구역_2호선
2024-06-18,121454,종로3가역_1호선
2024-06-19,193140,신림역_2호선
2024-06-20,93933,이태원역_6호선
2024-06-21,180627,삼성역_2호선
2024-06-22,56218,이태원역_6호선
2024-06-23,75336,이태원역_6호선
2024-06-24,207874,홍대입구역_2호선
2024-06-25,153662,서울역_1호선
2024-06-26,210708,홍대입구역_2호선
2024-06-27,164610,서울역_1호선
2024-06-28,151726,삼성역_2호선
2024-06-29,91709,종로3가역_1호선
2024-06-30,144494,서울역_1호선
2024-07-01,152296,신촌역_2호선
2024-07-02,287818,강남역_2호선
2024-07-03,247897,잠실역_2호선
2024-07-04,166628,서울역_1호선
2024-07-05,319566,강남역_2호선
2024-07-06,183236,신림역_2호선
2024-07-07,136041,서울역_1호선
2024-07-08,172141,신촌역_2호선
2024-07-09,230485,잠실역_2호선
2024-07-10,290721,강남역_2호선
2024-07-11,232900,홍대입구역_2호선
2024-07-12,85978,이태원역_6호선
2024-07-13,126581,종로3가역_1호선
2024-07-14,73020,이태원역_6호선
2024-07-15,202258,잠실역_2호선
2024-07-16,316715,강남역_2호선
2024-07-17,118194,종로3가역_1호선
2024-07-18,129365,종로3가역_1호선
2024-07-19,188228,구로디지털단지역_2호선
2024-07-20,210287,홍대입구역_2호선
2024-07-21,90023,이태원역_6호선
2024-07-22,204011,삼성역_2호선
2024-07-23,200354,신림역_2호선
2024-07-24,237290,신림역_2호선
2024-07-25,242661,신림역_2호선
2024-07-26,195862,잠실역_2호선
2024-07-27,190235,신림역_2호선
2024-07-28,115605,종로3가역_1호선
2024-07-29,162231,구로디지털단지역_2호선
2024-07-30,236641,신림역_2호선
2024-07-31,264167,홍대입구역_2호선
2024-08-01,338680,강남역_2호선
2024-08-02,157915,구로디지털단지역_2호선
2024-08-03,127743,신촌역_2호선
2024-08-04,179800,서울역_1호선
2024-08-05,159513,구로디지털단지역_2호선
2024-08-06,302510,강남역_2호선
2024-08-07,216112,잠실역_2호선
2024-08-08,169184,서울역_1호선
2024-08-09,187673,서울역_1호선
2024-08-10,89801,이태원역_6호선
2024-08-11,85321,이태원역_6호선
2024-08-12,292568,강남역_2호선
2024-08-13,176465,서울역_1호선
2024-08-14,172845,삼성역_2호선
2024-08-15,291785,강남역_2호선
2024-08-16,183975,삼성역_2호선
2024-08-17,109469,종로3가역_1호선
2024-08-18,189273,잠실역_2호선
2024-08-19,91710,이태원역_6호선
2024-08-20,253940,잠실역_2호선
2024-08-21,168074,삼성역_2호선
2024-08-22,167902,서울역_1호선
2024-08-23,195192,잠실역_2호선
2024-08-24,99047,이태원역_6호선
2024-08-25,135154,구로디지털단지역_2호선
2024-08-26,199757,잠실역_2호선
2024-08-27,136893,종로3가역_1호선
2024-08-28,254319,홍대입구역_2호선
2024-08-29,104537,이태원역_6호선
2024-08-30,216669,잠실역_2호선
2024-08-31,195550,잠실역_2호선
2024-09-01,148878,서울역_1호선
2024-09-02,178948,신림역_2호선
2024-09-03,218315,잠실역_2호선
2024-09-04,219155,잠실역_2호선
2024-09-05,206792,신림역_2호선
2024-09-06,159180,삼성역_2호선
2024-09-07,169388,잠실역_2호선
2024-09-08,231530,강남역_2호선
2024-09-09,161642,서울역_1호선
2024-09-10,226426,잠실역_2호선
2024-09-11,179325,삼성역_2호선
2024-09-12,134664,종로3가역_1호선
2024-09-13,151886,신촌역_2호선
2024-09-14,132724,구로디지털단지역_2호선
2024-09-15,105078,신촌역_2호선
2024-09-16,230001,홍대입구역_2호선
2024-09-17,97171,이태원역_6호선
2024-09-18,223649,홍대입구역_2호선
2024-09-19,162823,서울역_1호선
2024-09-20,140060,구로디지털단지역_2호선
2024-09-21,198157,강남역_2호선
2024-09-22,130494,구로디지털단지역_2호선
2024-09-23,190193,삼성역_2호선
2024-09-24,252738,홍대입구역_2호선
2024-09-25,233415,잠실역_2호선
2024-09-26,152637,삼성역_2호선
2024-09-27,207796,잠실역_2호선
2024-09-28,149928,잠실역_2호선
2024-09-29,170658,신림역_2호선
2024-09-30,264441,강남역_2호선
2024-10-01,189847,잠실역_2호선
2024-10-02,219855,신림역_2호선
2024-10-03,105846,이태원역_6호선
2024-10-04,323684,강남역_2호선
2024-10-05,107522,구로디지털단지역_2호선
2024-10-06,103018,신촌역_2호선
2024-10-07,167119,신촌역_2호선
2024-10-08,96258,이태원역_6호선
2024-10-09,163558,신촌역_2호선
2024-10-10,103455,이태원역_6호선
2024-10-11,104724,이태원역_6호선
2024-10-12,176670,신림역_2호선
2024-10-13,123882,신촌역_2호선
2024-10-14,197951,서울역_1호선
2024-10-15,172706,구로디지털단지역_2호선
2024-10-16,198918,서울역_1호선
2024-10-17,107333,이태원역_6호선
2024-10-18,148975,구로디지털단지역_2호선
2024-10-19,99557,신촌역_2호선
2024-10-20,128825,서울역_1호선
2024-10-21,170856,서울역_1호선
2024-10-22,140248,종로3가역_1호선
2024-10-23,212056,홍대입구역_2호선
2024-10-24,182885,신림역_2호선
2024-10-25,221642,잠실역_2호선
2024-10-26,174520,신림역_2호선
2024-10-27,104140,구로디지털단지역_2호선
2024-10-28,202958,잠실역_2호선
2024-10-29,140524,종로3가역_1호선
2024-10-30,151058,신촌역_2호선
2024-10-31,278770,강남역_2호선
2024-11-01,201880,잠실역_2호선
2024-11-02,152946,삼성역_2호선
2024-11-03,268876,강남역_2호선
2024-11-04,207697,잠실역_2호선
2024-11-05,297957,강남역_2호선
2024-11-06,198598,서울역_1호선
2024-11-07,232451,잠실역_2호선
2024-11-08,211819,잠실역_2호선
2024-11-09,71540,이태원역_6호선
2024-11-10,109197,신촌역_2호선
2024-11-11,177897,서울역_1호선
2024-11-12,125962,신촌역_2호선
2024-11-13,198712,잠실역_2호선
2024-11-14,224171,잠실역_2호선
2024-11-15,223385,신림역_2호선
2024-11-16,103273,신촌역_2호선
2024-11-17,142632,삼성역_2호선
2024-11-18,303995,강남역_2호선
2024-11-19,178066,삼성역_2호선
2024-11-20,263430,강남역_2호선
2024-11-21,185797,잠실역_2호선
2024-11-22,136161,신촌역_2호선
2024-11-23,228132,강남역_2호선
2024-11-24,156642,잠실역_2호선
2024-11-25,161559,구로디지털단지역_2호선
2024-11-26,127542,종로3가역_1호선
2024-11-27,195303,잠실역_2호선
2024-11-28,193627,잠실역_2호선
2024-11-29,256679,홍대입구역_2호선
2024-11-30,264950,강남역_2호선
2024-12-01,228435,강남역_2호선
2024-12-02,166665,구로디지털단지역_2호선
2024-12-03,188924,홍대입구역_2호선
2024-12-04,270727,강남역_2호선
2024-12-05,125452,구로디지털단지역_2호선
2024-12-06,143065,삼성역_2호선
2024-12-07,102597,구로디지털단지역_2호선
2024-12-08,133257,신촌역_2호선
2024-12-09,212389,홍대입구역_2호선
2024-12-10,134060,신촌역_2호선
2024-12-11,110383,종로3가역_1호선
2024-12-12,173000,삼성역_2호선
2024-12-13,205399,홍대입구역_2호선
2024-12-14,114443,서울역_1호선
2024-12-15,103095,삼성역_2호선
2024-12-16,178978,서울역_1호선
2024-12-17,193130,잠실역_2호선
2024-12-18,129351,구로디지털단지역_2호선
2024-12-19,178610,삼성역_2호선
2024-12-20,131088,구로디지털단지역_2호선
2024-12-21,163207,서울역_1호선
2024-12-22,109463,삼성역_2호선
2024-12-23,184723,삼성역_2호선
2024-12-24,284552,강남역_2호선
2024-12-25,99778,이태원역_6호선
2024-12-26,104140,종로3가역_1호선
2024-12-27,94090,이태원역_6호선
2024-12-28,238409,강남역_2호선
2024-12-29,96606,신촌역_2호선
2024-12-30,230439,잠실역_2호선
